n_killed,latitude,longitude
0,33.2349,-111.542
0,25.5514,-80.4047
1,44.3123,-84.0045
0,35.1125,-90.0057
0,39.9869,-76.6783
2,43.6645,-84.1747
0,34.0886,-80.9737
0,34.0447,-81.1159
1,36.1841,-80.2164
0,41.0382,-85.1157
0,41.2445,-76.9932
0,38.0486,-84.4843
1,47.6792,-117.404
0,31.5343,-89.1706
0,42.2472,-71.8152
0,39.2817,-76.6513
0,32.524,-92.0626
0,34.6254,-78.5962
0,41.9677,-91.7353
0,32.4802,-93.8657
0,39.3173,-76.6077
1,44.953,-89.6394
0,39.3011,-76.6403
0,32.5453,-93.7706
0,30.7435,-86.2009
0,41.4891,-87.0511
0,33.4065,-91.0282
0,29.8257,-95.2082
0,38.8427,-76.9479
0,43.1494,-77.631
0,35.049,-106.638
0,34.5758,-93.1685
0,40.6988,-73.9951
0,27.5157,-99.4865
0,40.6108,-75.48
2,41.781,-89.6937
1,37.0354,-76.3594
0,40.5334,-122.385
1,41.3275,-72.9352
0,40.7493,-74.1914
0,41.6373,-83.626
0,30.5658,-96.2982
1,39.855,-86.0417
1,40.0264,-75.1371
0,36.4655,-82.9036
0,34.6766,-86.7607
0,31.5658,-93.4913
0,39.8406,-89.5717
1,41.3753,-81.752
0,36.7249,-86.5614
0,30.3617,-90.0616
0,30.0089,-91.8401
0,26.8187,-80.6615
1,40.6693,-73.9136
0,35.791,-86.3495
0,34.6815,-86.5724
0,40.8416,-75.2961
1,41.4506,-81.611
1,38.0426,-84.533
0,32.94,-96.7658
1,39.2956,-95.026
1,40.9262,-74.1587
0,40.5433,-74.5905
0,41.6826,-71.5611
1,33.9111,-118.239
0,32.501,-92.1181
0,40.6219,-74.427
0,30.2921,-81.6261
1,35.2494,-81.3341
0,33.8099,-84.3911
0,40.4952,-74.4557
1,30.2711,-81.7624
1,30.0138,-90.1353
0,40.3612,-80.6253
0,41.8917,-87.7235
0,33.3015,-80.7443
0,39.94,-75.2338
1,25.9215,-80.1701
0,44.1218,-123.216
1,46.5851,-120.49
0,26.1901,-80.3659
0,39.7733,-75.5119
0,33.8448,-116.451
1,39.8118,-105.093
0,38.3833,-82.6915
0,32.8657,-96.7724
0,42.0585,-71.0136
1,28.4008,-97.7483
0,29.9413,-90.0717
0,29.6591,-82.3023
0,32.4428,-80.7411
0,29.926,-90.0825
1,33.9339,-84.1271
0,32.5081,-84.9748
1,40.6599,-73.9426
0,41.9393,-87.7245
0,40.0064,-75.0952
0,34.743,-86.6495
0,39.2147,-76.8717
0,29.966,-90.1132
2,30.2918,-81.7522
0,40.634,-73.9497
0,34.0476,-117.761
0,39.7565,-84.228
0,40.7782,-74.023
0,42.4775,-92.3351
1,27.5152,-99.5045
0,41.2351,-75.8858
1,39.7593,-77.7258
1,47.9503,-117.472
0,42.8023,-73.9326
0,33.5909,-83.8791
0,34.7266,-86.5722
0,33.3318,-86.9961
0,40.9865,-85.1881
0,38.2396,-104.643
0,43.2841,-77.7452
0,33.8295,-118.077
0,46.2443,-119.117
0,35.5999,-105.229
0,42.9976,-77.4788
0,41.8807,-87.7605
1,31.5422,-110.251
1,27.8006,-97.3964
0,36.1988,-95.8839
0,32.828,-96.8719
0,34.7305,-92.3094
1,26.637,-81.9509
0,29.9902,-95.3368
0,29.586,-98.3771
0,41.7991,-87.7013
0,28.5875,-81.4459
0,39.3978,-74.5254
0,26.6508,-80.0829
0,42.0946,-72.4987
0,43.0006,-71.4242
