date,state,city_or_county,n_killed,n_injured,n_total,city_ascii,state_name,state_id,county_name
2014-01-12,New Jersey,Franklin Township,0,1,1,,,,
2014-01-13,Virginia,Henrico,0,0,0,,,,
2014-01-13,Louisiana,Westwego ,0,1,1,,,,
2014-01-13,Virginia,Henrico County,1,0,1,,,,
2014-01-13,Mississippi,Claiborne,1,0,1,,,,
2014-01-13,Ohio,Washington Township,0,1,1,,,,
2014-01-13,Vermont,Berlin,0,0,0,,,,
2014-01-13,South Carolina,James Island,0,2,2,,,,
2014-01-13,Maryland,Prince George,1,0,1,,,,
2014-01-13,Georgia,Richmond County,1,0,1,,,,
2014-01-13,California,Mesa,0,1,1,,,,
2014-01-13,Virginia,Henrico County,0,0,0,,,,
2014-01-13,Virginia,York,0,0,0,,,,
2014-01-13,Maryland,Hanover,0,0,0,,,,
2014-01-13,New York,Wheatfield,0,0,0,,,,
2014-01-13,Tennessee,Antioch,0,1,1,,,,
2014-01-13,Louisiana,Jefferson Parish,0,0,0,,,,
2014-01-13,Minnesota,Lehillier,0,0,0,,,,
2014-01-13,North Carolina,Wayne County,2,0,2,,,,
2014-01-13,North Carolina,Hoke County,0,1,1,,,,
2014-01-14,Indiana,Steuben County,0,0,0,,,,
2014-01-14,Illinois,Kane County,0,0,0,,,,
2014-01-14,Texas,Harris County,0,0,0,,,,
2014-01-14,Ohio,East Price Hill,0,2,2,,,,
2014-01-14,Maryland,Prince George,0,0,0,,,,
2014-01-14,Tennessee,Hickory Hill,0,0,0,,,,
2014-01-14,Texas,Harris County,0,0,0,,,,
2014-01-14,California,Shasta County,0,1,1,,,,
2014-01-14,Kentucky,Muhlenberg County,0,0,0,,,,
2014-01-14,Nebraska,Omaha ,0,0,0,,,,
2014-01-14,Florida,Fleming Island,0,0,0,,,,
2014-01-14,South Carolina,Orangeburg County,0,1,1,,,,
2014-01-14,Kentucky,Ohio County,0,1,1,,,,
2014-01-14,Ohio,Cincinnati ,0,2,2,,,,
2014-01-14,New York,Bethlehem,0,0,0,,,,
2014-01-14,Kentucky,Floyd County,0,0,0,,,,
2014-01-14,Tennessee,Mcminn County,1,0,1,,,,
2014-01-14,Georgia,Clayton County,1,0,1,,,,
2014-01-14,New York,Clay,0,0,0,,,,
2014-01-14,Mississippi,Warren,0,2,2,,,,
2014-01-14,Kentucky,Morning View,2,0,2,,,,
2014-01-15,Ohio,Unity Township,0,1,1,,,,
2014-01-15,Florida,Collier County,0,0,0,,,,
2014-01-15,Montana,Flathead County,0,1,1,,,,
2014-01-15,Massachusetts,Dorchester,1,0,1,,,,
2014-01-15,Pennsylvania,Pittsburgh ,2,0,2,,,,
2014-01-15,Ohio,Franklin County,0,0,0,,,,
2014-01-15,Pennsylvania,Clifton Township,0,0,0,,,,
2014-01-15,Massachusetts,Auburn,0,0,0,,,,
2014-01-15,Indiana,Dubois County,0,0,0,,,,
2014-01-15,Georgia,Houston County,1,0,1,,,,
2014-01-15,Florida,Collier County,3,0,3,,,,
2014-01-15,Illinois,Winnebago County,0,0,0,,,,
2014-01-15,Texas,San Patricio County,0,1,1,,,,
2014-01-15,New York,Marlborough,0,0,0,,,,
2014-01-15,New Jersey,Lyndhurst,0,1,1,,,,
2014-01-15,Massachusetts,Ludlow,0,1,1,,,,
2014-01-15,Florida,Broward,0,1,1,,,,
2014-01-16,New Jersey,Delran,0,0,0,,,,
2014-01-16,Pennsylvania,Plains Township,0,0,0,,,,
2014-01-16,North Carolina,Robeson County,0,0,0,,,,
2014-01-16,Georgia,Dekalb County,0,2,2,,,,
2014-01-16,New Jersey,Mount Laurel,0,0,0,,,,
2014-01-16,Virginia,Middlesex,0,0,0,,,,
2014-01-16,Tennessee,Blackman,0,0,0,,,,
2014-01-16,Michigan,Roscommon Township,1,0,1,,,,
2014-01-16,Alabama,Morgan County,1,0,1,,,,
2014-01-16,New Jersey,Mount Laurel,0,0,0,,,,
2014-01-16,New Jersey,Brick,0,0,0,,,,
2014-01-16,Texas,Mckinney,2,0,2,,,,
2014-01-16,New Jersey,Pemberton Township,0,0,0,,,,
2014-01-16,Louisiana,Natchitoches Parish,0,2,2,,,,
2014-01-16,North Carolina,Moore County,0,0,0,,,,
2014-01-16,North Carolina,Yadkin County,0,0,0,,,,
2014-01-17,New York,Onondaga County,0,1,1,,,,
2014-01-17,Massachusetts,Westport,0,0,0,,,,
2014-01-17,California,Boyle Heights,1,0,1,,,,
2014-01-17,Kentucky,Paducah ,1,0,1,,,,
2014-01-17,Pennsylvania,Wilkes,0,0,0,,,,
2014-01-17,New York,Beekman,0,0,0,,,,
2014-01-17,Georgia,Dekalb County,1,0,1,,,,
2014-01-17,South Carolina,Richland County,0,0,0,,,,
2014-01-17,South Carolina,Horry County,0,1,1,,,,
2014-01-17,Missouri,Franklin County,0,1,1,,,,
2014-01-17,Mississippi,D,0,0,0,,,,
2014-01-17,Georgia,Lagrange,0,1,1,,,,
2014-01-17,Texas,Harris County,0,1,1,,,,
2014-01-18,Texas,Lampasas County,0,1,1,,,,
2014-01-18,Vermont,Colchester,0,0,0,,,,
2014-01-18,North Carolina,Wayne County,0,1,1,,,,
2014-01-18,Texas,San Jacinto River,0,0,0,,,,
2014-01-18,Oklahoma,Rogers County,0,1,1,,,,
2014-01-18,South Carolina,Richland County,0,0,0,,,,
2014-01-18,Pennsylvania,Wilkes,0,0,0,,,,
2014-01-18,Illinois,Franklin County,0,0,0,,,,
2014-01-18,Florida,Loxahatchee,0,1,1,,,,
2014-01-18,Wisconsin,Sawyer County,1,0,1,,,,
2014-01-18,Kentucky,Franklin County,0,0,0,,,,
2014-01-19,Georgia,Cobb,0,0,0,,,,
2014-01-19,Pennsylvania,Hempfield,1,0,1,,,,
2014-01-19,Texas,Tulsa,1,0,1,,,,
2014-01-19,Pennsylvania,Wilkes,0,0,0,,,,
2014-01-19,Louisiana,Gretna ,0,1,1,,,,
2014-01-19,Connecticut,Glastonbury,0,0,0,,,,
2014-01-19,Texas,Montgomery County,2,1,3,,,,
2014-01-19,Pennsylvania,Dilliner,0,0,0,,,,
2014-01-20,Florida,Collier County,3,0,3,,,,
2014-01-20,Maryland,Prince George,0,0,0,,,,
2014-01-20,Kentucky,Warren County,0,1,1,,,,
2014-01-20,Florida,Putnam,0,1,1,,,,
2014-01-20,Louisiana,Westwego ,0,2,2,,,,
2014-01-20,California,Koreatown,2,0,2,,,,
2014-01-20,Minnesota,Chisago County,0,0,0,,,,
2014-01-20,Georgia,Glynn County,0,1,1,,,,
2014-01-20,Louisiana,Jefferson Parish,0,2,2,,,,
2014-01-21,Louisiana,Terrebonne Parish,0,0,0,,,,
2014-01-21,South Carolina,Charleston County,0,0,0,,,,
2014-01-21,Indiana,Laporte County,0,0,0,,,,
2014-01-21,Georgia,Coffee County,0,0,0,,,,
2014-01-21,Tennessee,Sequatchie County,1,0,1,,,,
2014-01-21,Montana,Flathead Reservation,0,0,0,,,,
2014-01-21,Pennsylvania,Hempfield,1,0,1,,,,
2014-01-21,Georgia,Clayton County,0,1,1,,,,
2014-01-21,Florida,Manatee,0,2,2,,,,
2014-01-21,Washington,Thurston,0,1,1,,,,
2014-01-22,Texas,Harris County,0,1,1,,,,
2014-01-22,Florida,Lake County,0,1,1,,,,
2014-01-22,Maryland,Carroll County,0,1,1,,,,
2014-01-22,Tennessee,Chester County,0,1,1,,,,
2014-01-22,Georgia,Gwinnett County,0,0,0,,,,
2014-01-22,Kentucky,Clay County,0,0,0,,,,
2014-01-22,Kentucky,Hopkins County,1,0,1,,,,
2014-01-22,Wisconsin,Oconomowoc ,1,0,1,,,,
2014-01-22,Michigan,Spring Arbor Township,1,0,1,,,,
2014-01-22,Illinois,Chicago Heights ,1,0,1,,,,
2014-01-22,Texas,Fort Bend County,0,1,1,,,,
2014-01-22,Virginia,York,0,2,2,,,,
2014-01-22,North Carolina,Pitt County,0,0,0,,,,
2014-01-22,Michigan,Waterford,0,0,0,,,,
2014-01-23,Florida,Columbia County,0,0,0,,,,
2014-01-23,Georgia,Suwanee ,0,0,0,,,,
2014-01-23,Ohio,Columbus ,1,0,1,,,,
2014-01-23,Mississippi,Jones County,0,0,0,,,,
2014-01-23,Texas,Liberty County,1,0,1,,,,
2014-01-23,Indiana,Floyd County,0,0,0,,,,
2014-01-23,Tennessee,Washington County,0,0,0,,,,
2014-01-23,Alabama,Morgan County,0,0,0,,,,
2014-01-23,Florida,Daytona,0,0,0,,,,
2014-01-23,Texas,Fort Hood,3,0,3,,,,
2014-01-23,Virginia,Henrico,0,0,0,,,,
2014-01-23,Texas,Engle,1,0,1,,,,
2014-01-24,Massachusetts,Dorchester,1,0,1,,,,
2014-01-24,Connecticut,East Windsor,0,0,0,,,,
2014-01-24,Florida,Manatee,1,0,1,,,,
2014-01-24,New Jersey,Stafford Township,0,0,0,,,,
2014-01-24,South Carolina,Cherokee County,1,0,1,,,,
2014-01-24,South Carolina,Richland County,0,2,2,,,,
2014-01-24,Louisiana,Ouachita Parish,0,0,0,,,,
2014-01-24,New Jersey,Gloucester Township,0,1,1,,,,
2014-01-25,Florida,Manatee,0,0,0,,,,
2014-01-25,New York,Wheatfield,0,0,0,,,,
2014-01-25,South Carolina,West Ashley,0,0,0,,,,
2014-01-25,Nevada,Cold Creek,0,0,0,,,,
2014-01-25,Vermont,Williston,0,0,0,,,,
2014-01-25,Florida,Broward,0,0,0,,,,
2014-01-25,Rhode Island,North Kingstown,0,0,0,,,,
2014-01-25,Florida,Hillsborough County,0,2,2,,,,
2014-01-25,California,Valley Glen,1,0,1,,,,
2014-01-26,Texas,Gregg County,1,0,1,,,,
2014-01-26,Florida,Volusia,0,1,1,,,,
2014-01-26,Maryland,Hanover,0,0,0,,,,
2014-01-26,Florida,Osceola County,0,0,0,,,,
2014-01-26,Louisiana,Jefferson Parish,0,1,1,,,,
2014-01-26,Connecticut,Stafford,0,0,0,,,,
2014-01-26,Virginia,Carroll County,0,1,1,,,,
2014-01-26,Kentucky,Knox County,1,0,1,,,,
2014-01-26,Florida,Port St,0,2,2,,,,
2014-01-26,Alabama,Crane Hill,1,0,1,,,,
2014-01-26,Tennessee,Blount County,0,0,0,,,,
2014-01-26,Florida,Osceola County,0,0,0,,,,
2014-01-27,Louisiana,Jefferson Parish,2,0,2,,,,
2014-01-27,West Virginia,Greenbrier County,0,0,0,,,,
2014-01-27,Kentucky,Pulaski County,0,0,0,,,,
2014-01-27,Texas,Harris County,0,2,2,,,,
2014-01-27,Pennsylvania,Penn Hills,1,0,1,,,,
2014-01-27,Tennessee,Shelby County,2,0,2,,,,
2014-01-27,Pennsylvania,Mckeesport,1,0,1,Mckeesport,Pennsylvania,PA,Allegheny
2014-01-27,New Jersey,Neptune ,0,1,1,,,,
2014-01-27,Massachusetts,West Bridgewater,0,0,0,,,,
2014-01-27,Florida,Manatee,0,1,1,,,,
2014-01-27,Florida,Collier,0,0,0,,,,
2014-01-28,New York,Amherst,0,0,0,,,,
2014-01-28,New York,Freedom,0,0,0,,,,
2014-01-28,Massachusetts,Easton,0,0,0,,,,
2014-01-28,Colorado,Springs,0,1,1,,,,
2014-01-28,New Hampshire,Kensington,0,0,0,,,,
2014-01-28,Texas,Hidalgo County,1,1,2,,,,
2014-01-28,Illinois,Dekalb ,1,1,2,,,,
2014-01-28,Mississippi,Panola County,0,1,1,,,,
2014-01-28,Indiana,Laporte,0,1,1,,,,
2014-01-28,Tennessee,Hermitage,1,0,1,,,,
2014-01-28,Massachusetts,Stoughton,0,0,0,,,,
2014-01-29,Louisiana,Natchitoches Parish,0,0,0,,,,
2014-01-29,Kentucky,Hopkins County,0,0,0,,,,
2014-01-29,North Carolina,New Hanover County,0,1,1,,,,
2014-01-29,Louisiana,Deridder,1,0,1,,,,
2014-01-29,California,Bridgeville,0,0,0,,,,
2014-01-29,Florida,Collier,0,0,0,,,,
2014-01-29,Wisconsin,Blooming Grove,0,0,0,,,,
2014-01-29,Florida,Port St,0,0,0,,,,
2014-01-29,Mississippi,Kemper County,0,1,1,,,,
2014-01-29,Hawaii,Kapaa,0,0,0,Kapaa,Hawaii,HI,Kauai
2014-01-29,West Virginia,Logan County,1,0,1,,,,
2014-01-29,Missouri,Robertsville,0,1,1,,,,
2014-01-29,Texas,Mcallen,0,1,1,,,,
2014-01-30,New York,East Amherst,0,0,0,,,,
2014-01-30,Ohio,Cleveland ,0,1,1,,,,
2014-01-30,Ohio,Galloway,0,1,1,,,,
2014-01-30,South Carolina,Hilton Head,0,0,0,,,,
2014-01-30,Iowa,Linn County,0,0,0,,,,
2014-01-30,New Jersey,Neptune Township,0,0,0,,,,
2014-01-30,Florida,Moss Point,0,1,1,,,,
2014-01-30,Utah,Sandy,1,0,1,,,,
2014-01-30,California,Kearny Mesa,0,0,0,,,,
2014-01-30,Georgia,Bibb County,0,0,0,,,,
2014-01-31,Louisiana,Saint Amant,1,0,1,,,,
2014-01-31,Florida,Seminole County,0,0,0,,,,
2014-01-31,Tennessee,Orange Mound,0,1,1,,,,
2014-01-31,Florida,Collier County,0,0,0,,,,
2014-01-31,Michigan,Leonidas,0,1,1,,,,
2014-01-31,Massachusetts,Wareham,0,1,1,,,,
2014-01-31,Michigan,Ionia County,0,0,0,,,,
2014-01-31,Texas,Mcallen,1,1,2,,,,
