n_killed,latitude,longitude
2,27.0835,-82.2341
2,35.1732,-80.8668
2,29.1848,-94.9785
2,33.8691,-88.5554
2,33.8724,-88.49
2,29.934,-90.0848
2,29.7654,-95.3663
2,35.1698,-89.9208
2,30.0159,-95.4701
2,43.11,-78.5239
2,37.6267,-120.987
2,40.1862,-76.8568
2,36.119,-95.8563
2,39.5147,-87.2906
2,40.8639,-73.8945
2,36.2338,-93.1183
2,39.1664,-84.2374
2,29.6456,-95.5051
2,38.3421,-84.386
2,38.6252,-90.1888
2,42.1276,-72.5744
2,39.3488,-76.6785
2,25.7341,-80.3552
2,33.725,-112.203
2,34.1621,-92.0506
2,39.8183,-86.0889
2,35.693,-80.4388
2,38.5182,-90.4768
2,38.0881,-85.6845
2,28.0846,-80.6942
2,34.2107,-117.084
2,33.6764,-84.4867
2,38.3421,-84.386
2,39.8858,-82.9304
2,36.9155,-121.765
2,34.7865,-82.7074
2,34.7868,-82.7084
2,37.8007,-94.3276
2,37.7802,-122.408
2,36.681,-79.8763
2,34.3739,-89.5515
2,36.1881,-89.6719
2,27.8958,-82.79
2,39.8152,-104.92
2,34.2144,-117.118
2,45.8226,-88.0664
2,44.0503,-117.008
2,36.575,-86.5174
2,38.7181,-90.2619
2,30.2078,-81.5503
2,33.8171,-84.3929
2,28.6719,-81.509
2,35.0728,-106.611
2,37.584,-97.3236
2,30.9239,-87.1384
2,40.7926,-74.1583
2,40.4202,-75.6235
2,33.6739,-116.312
2,37.5112,-77.4881
2,29.6089,-95.2474
2,33.1039,-81.8878
2,33.8228,-87.3266
2,38.7413,-77.575
2,33.6138,-112.04
2,37.484,-81.8983
2,33.3468,-84.8254
2,26.9568,-82.0654
2,42.6971,-84.5381
2,42.8995,-78.8791
2,29.7125,-95.3938
2,29.3709,-98.556
2,40.3483,-76.4274
2,38.5583,-106.935
2,35.0678,-81.0677
2,38.5956,-121.419
2,39.7525,-86.0973
2,35.8351,-80.8948
2,40.3483,-76.4274
2,32.7656,-96.709
2,39.4061,-104.909
2,35.5826,-106.057
2,33.4264,-117.614
2,40.6535,-73.8847
2,33.7475,-84.159
2,44.0651,-71.6116
2,40.0716,-93.6176
2,33.1973,-84.7992
2,41.2577,-80.8127
2,30.8573,-90.7256
2,30.4874,-95.994
2,39.6588,-104.84
2,30.5961,-96.0801
2,28.6493,-81.4735
2,33.5645,-117.667
2,30.3934,-88.9974
2,41.5126,-87.5871
2,47.6639,-117.244
2,37.8746,-94.0271
2,41.5104,-87.5846
2,40.9211,-73.0423
2,32.8986,-105.931
2,33.7534,-117.812
2,35.0283,-89.8266
2,40.0137,-75.7939
2,28.5077,-81.2128
2,41.3032,-95.9802
2,36.4815,-86.824
2,40.7363,-74.1976
2,34.709,-81.2162
2,35.9577,-83.6403
2,41.2313,-74.5303
2,34.6979,-79.2262
2,42.3597,-71.0631
2,27.7404,-82.698
2,33.314,-82.0968
2,45.5713,-122.64
2,40.8235,-73.9184
2,39.8152,-82.2986
2,29.7356,-94.9395
2,47.1399,-122.09
2,40.6907,-111.778
2,33.9617,-80.9976
2,40.7241,-81.2518
2,41.5459,-87.3509
2,40.3753,-104.722
2,30.2938,-81.7553
2,29.9143,-95.4904
2,32.3156,-95.4524
2,36.2049,-105.712
2,34.018,-118.157
2,38.4831,-90.7477
2,32.8824,-97.1792
2,39.2245,-84.4507
2,40.1525,-79.8975
2,40.4533,-80.0492
2,36.0466,-96.1547
2,35.2729,-79.9737
2,29.9207,-97.4825
2,44.6674,-85.0233
2,35.007,-81.8053
2,43.0894,-72.6283
2,39.8095,-86.0096
2,32.6045,-95.2041
2,31.7677,-106.352
2,41.5386,-87.3351
2,30.0347,-81.5883
2,29.4045,-98.4409
2,41.467,-81.6147
2,30.4969,-84.3406
2,40.7143,-74.2325
2,31.6478,-86.6705
2,35.6208,-77.0101
2,42.9299,-78.807
2,33.4478,-81.6555
2,30.4969,-91.1376
2,35.574,-83.0118
2,34.0861,-117.936
2,34.0868,-117.935
2,44.031,-92.5306
2,37.6181,-78.4988
2,37.5063,-77.4643
2,36.7676,-85.168
2,42.1993,-83.1931
2,37.8432,-122.232
2,33.7805,-84.2384
2,29.4071,-98.5733
2,40.8379,-74.0629
2,34.9425,-80.3028
2,32.3733,-86.293
2,39.6855,-83.9352
