STNAME,CTYNAME,POPESTIMATE2015
Connecticut,Litchfield County,184133
Connecticut,Middlesex County,163555
Connecticut,New Haven County,860292
Connecticut,New London County,269717
Connecticut,Tolland County,151685
Connecticut,Windham County,116468
Delaware,Delaware,941413
Delaware,Kent County,173129
Delaware,New Castle County,553658
Delaware,Sussex County,214626
District of Columbia,District of Columbia,675254
District of Columbia,District of Columbia,675254
Florida,Florida,20224249
Florida,Alachua County,259177
Florida,Baker County,27351
Florida,Bay County,181387
Florida,Bradford County,26743
Florida,Brevard County,565992
Florida,Broward County,1885443
Florida,Calhoun County,14411
Florida,Charlotte County,172437
Florida,Citrus County,140311
Florida,Clay County,202386
Florida,Collier County,356107
Florida,Columbia County,68197
Florida,DeSoto County,35650
Florida,Dixie County,16352
Florida,Duval County,910584
Florida,Escambia County,309332
Florida,Flagler County,104420
Florida,Franklin County,11706
Florida,Gadsden County,46051
Florida,Gilchrist County,17369
Florida,Glades County,13111
Florida,Gulf County,15928
Florida,Hamilton County,14267
Florida,Hardee County,27185
Florida,Hendry County,39325
Florida,Hernando County,177949
Florida,Highlands County,100222
Florida,Hillsborough County,1348848
Florida,Holmes County,19270
Florida,Indian River County,147478
Florida,Jackson County,48625
Florida,Jefferson County,14101
Florida,Lafayette County,8734
Florida,Lake County,325091
Florida,Lee County,699530
Florida,Leon County,285997
Florida,Levy County,39599
Florida,Liberty County,8408
Florida,Madison County,18474
Florida,Manatee County,362587
Florida,Marion County,342335
Florida,Martin County,155624
Florida,Miami-Dade County,2688156
Florida,Monroe County,76696
Florida,Nassau County,77930
Florida,Okaloosa County,197839
Florida,Okeechobee County,39836
Florida,Orange County,1290639
Florida,Osceola County,323578
Florida,Palm Beach County,1424685
Florida,Pasco County,494919
Florida,Pinellas County,947535
Florida,Polk County,648758
Florida,Putnam County,71935
Florida,St. Johns County,226464
Florida,St. Lucie County,297442
Florida,Santa Rosa County,166231
Florida,Sarasota County,404842
Florida,Seminole County,448246
Florida,Sumter County,117070
Florida,Suwannee County,43671
Florida,Taylor County,22360
Florida,Union County,15274
Florida,Volusia County,516918
Florida,Wakulla County,31522
Florida,Walton County,63048
Florida,Washington County,24561
Georgia,Georgia,10181111
Georgia,Appling County,18423
Georgia,Atkinson County,8344
Georgia,Bacon County,11242
Georgia,Baker County,3196
Georgia,Baldwin County,45542
Georgia,Banks County,18378
Georgia,Barrow County,74964
Georgia,Bartow County,102079
Georgia,Ben Hill County,17334
Georgia,Berrien County,18975
Georgia,Bibb County,153948
Georgia,Bleckley County,12705
Georgia,Brantley County,18416
Georgia,Brooks County,15680
Georgia,Bryan County,34792
Georgia,Bulloch County,73152
Georgia,Burke County,22620
Georgia,Butts County,23494
Georgia,Calhoun County,6531
Georgia,Camden County,52470
Georgia,Candler County,10867
Georgia,Carroll County,114467
Georgia,Catoosa County,65799
Georgia,Charlton County,13234
Georgia,Chatham County,285959
Georgia,Chattahoochee County,11067
Georgia,Chattooga County,24895
Georgia,Cherokee County,235387
Georgia,Clarke County,123552
Georgia,Clay County,3077
Georgia,Clayton County,272868
Georgia,Clinch County,6836
Georgia,Cobb County,739319
Georgia,Coffee County,43000
Georgia,Colquitt County,45509
