date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
1/20/2015,Illinois,IL,St. Clair,Belleville,Belleville,0,0,0
1/20/2015,New York,NY,New York,New York,New York,0,0,0
1/22/2015,Minnesota,MN,Hennepin,Minneapolis,Minneapolis,0,1,1
1/23/2015,Florida,FL,Broward,Fort Lauderdale,Fort Lauderdale,1,0,1
1/23/2015,Missouri,MO,St. Louis (city),Saint Louis,Saint Louis,0,1,1
1/24/2015,New York,NY,New York,New York,New York,0,0,0
1/25/2015,Illinois,IL,Lake,Round Lake,Round Lake,0,0,0
1/28/2015,Wisconsin,WI,La Crosse,La Crosse,La Crosse,0,2,2
1/28/2015,Pennsylvania,PA,Schuylkill,Tower City,Tower City,0,0,0
1/30/2015,Oregon,OR,Multnomah,Portland,Portland,1,0,1
1/30/2015,Vermont,VT,Washington,Barre,Barre,0,0,0
2/1/2015,New York,NY,New York,New York,New York,1,4,5
2/2/2015,Oregon,OR,Multnomah,Portland,Portland,0,1,1
2/2/2015,Pennsylvania,PA,Dauphin,Hummelstown,Hummelstown,1,0,1
2/5/2015,Ohio,OH,Cuyahoga,Beachwood,Beachwood,3,3,6
2/5/2015,Massachusetts,MA,Barnstable,Buzzards Bay,Buzzards Bay,1,2,3
2/8/2015,Michigan,MI,Washtenaw,Ypsilanti,Ypsilanti,1,0,1
2/10/2015,Washington,WA,Snohomish,Marysville,Marysville,0,0,0
2/10/2015,Colorado,CO,Adams,Aurora,Aurora,0,0,0
2/11/2015,Ohio,OH,Cuyahoga,Independence,Independence,0,0,0
2/13/2015,Ohio,OH,Franklin,Columbus,Columbus,1,0,1
2/14/2015,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,0,2,2
2/15/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,1,1
2/19/2015,Wisconsin,WI,Racine,Sturtevant,Sturtevant,0,0,0
2/20/2015,Pennsylvania,PA,Westmoreland,New Kensington,New Kensington,0,1,1
2/22/2015,Illinois,IL,St. Clair,East Saint Louis,East Saint Louis,0,0,0
2/24/2015,Oregon,OR,Washington,Beaverton,Beaverton,0,0,0
2/26/2015,Vermont,VT,Addison,Vergennes,Vergennes,0,0,0
