date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
5/2/2015,Virginia,VA,Franklin,Franklin,,1,0,1
5/3/2015,Tennessee,TN,Rutherford,Rutherford,,1,0,1
5/3/2015,Alabama,AL,Cherokee,Cherokee,,0,1,1
5/3/2015,Virginia,VA,Henrico,Henrico,,0,0,0
5/3/2015,Florida,FL,Flagler,Flagler,,0,0,0
5/4/2015,Texas,TX,Bexar,Bexar,,1,0,1
5/4/2015,California,CA,Los Angeles,Los Angeles,,1,0,1
5/4/2015,Florida,FL,Lee,Lee,,0,0,0
5/4/2015,Florida,FL,Orange,Orange,,0,1,1
5/5/2015,Oregon,OR,Linn,Linn,,0,0,0
5/6/2015,New Mexico,NM,Eddy,Eddy,,0,0,0
5/6/2015,Pennsylvania,PA,Mercer,Mercer,,1,0,1
5/6/2015,Alabama,AL,Tuscaloosa,Tuscaloosa,,0,1,1
5/6/2015,Missouri,MO,Saint Louis,Saint Louis,,1,2,3
5/6/2015,Florida,FL,Charlotte,Charlotte,,0,0,0
5/7/2015,Mississippi,MS,Harrison,Harrison,,0,0,0
5/7/2015,California,CA,Fresno,Fresno,,1,0,1
5/7/2015,Alabama,AL,Escambia,Escambia,,1,0,1
5/7/2015,Georgia,GA,Dekalb,Dekalb,,0,1,1
5/7/2015,Texas,TX,Harris,Harris,,1,0,1
5/7/2015,Indiana,IN,Porter,Porter,,0,0,0
5/7/2015,North Carolina,NC,Alleghany,Alleghany,,0,1,1
5/7/2015,Texas,TX,Harris,Harris,,1,0,1
5/7/2015,Louisiana,LA,De Soto,De Soto,,0,0,0
5/8/2015,Texas,TX,Harris,Harris,,1,0,1
5/8/2015,Mississippi,MS,Lamar,Lamar,,0,0,0
5/8/2015,North Carolina,NC,Rockingham,Rockingham,,0,2,2
5/8/2015,Texas,TX,Harris,Harris,,0,1,1
5/8/2015,Virginia,VA,Pittsylvania,Pittsylvania,,1,1,2
5/8/2015,Virginia,VA,Botetourt,Botetourt,,0,0,0
5/8/2015,New Jersey,NJ,Cape May,Cape May,,0,0,0
5/9/2015,Missouri,MO,Jasper,Jasper,,0,0,0
5/9/2015,Kansas,KS,Johnson County,Johnson County,,1,0,1
5/10/2015,North Carolina,NC,Caldwell,Caldwell,,0,0,0
5/10/2015,Texas,TX,Williamson,Williamson,,3,0,3
5/10/2015,Alabama,AL,Mobile,Mobile,,1,0,1
5/11/2015,Texas,TX,Harris,Harris,,0,1,1
5/11/2015,South Carolina,SC,Darlington,Darlington,,0,0,0
5/11/2015,Colorado,CO,El Paso,El Paso,,0,1,1
5/11/2015,Colorado,CO,Pueblo,Pueblo,,2,0,2
5/12/2015,Arkansas,AR,Grant,Grant,,0,0,0
5/12/2015,Missouri,MO,Greene,Greene,,0,1,1
5/12/2015,Tennessee,TN,Shelby,Shelby,,0,1,1
5/12/2015,Georgia,GA,Dodge,Dodge,,1,0,1
5/12/2015,North Carolina,NC,Catawba,Catawba,,0,0,0
5/12/2015,Missouri,MO,Jefferson,Jefferson,,0,1,1
5/13/2015,Kentucky,KY,Morgan,Morgan,,0,1,1
5/13/2015,North Carolina,NC,Jones,Jones,,0,1,1
5/13/2015,Florida,FL,Escambia,Escambia,,0,1,1
5/13/2015,Florida,FL,Manatee,Manatee,,0,0,0
5/13/2015,Tennessee,TN,Fayette,Fayette,,0,1,1
5/14/2015,Georgia,GA,Meriwether,Meriwether,,0,1,1
5/14/2015,Oklahoma,OK,Wagoner,Wagoner,,0,0,0
5/14/2015,Georgia,GA,Madison,Madison,,0,0,0
5/14/2015,Florida,FL,Orange,Orange,,0,1,1
5/14/2015,Alabama,AL,Lee,Lee,,0,0,0
5/14/2015,Mississippi,MS,Harrison,Harrison,,0,0,0
5/14/2015,Missouri,MO,Jefferson,Jefferson,,2,0,2
5/15/2015,Arkansas,AR,Johnson,Johnson,,1,1,2
5/15/2015,Georgia,GA,Colquitt,Colquitt,,0,1,1
5/15/2015,Montana,MT,Beaverhead,Beaverhead,,0,1,1
5/16/2015,Oklahoma,OK,Muskogee,Muskogee,,0,0,0
5/16/2015,Iowa,IA,Iowa,Iowa,,0,0,0
5/16/2015,Michigan,MI,Charlevoix,Charlevoix,,0,2,2
5/16/2015,Mississippi,MS,Harrison,Harrison,,0,0,0
5/16/2015,Oregon,OR,Linn,Linn,,0,1,1
5/16/2015,Florida,FL,Orange,Orange,,0,1,1
5/16/2015,Louisiana,LA,Jackson,Jackson,,0,0,0
5/16/2015,Colorado,CO,El Paso,El Paso,,0,1,1
5/17/2015,South Dakota,SD,Minnehaha,Minnehaha,,0,0,0
5/17/2015,Virginia,VA,Franklin,Franklin,,0,1,1
5/17/2015,Tennessee,TN,Shelby,Shelby,,0,0,0
5/17/2015,Florida,FL,Escambia,Escambia,,0,1,1
5/17/2015,Kentucky,KY,Pulaski,Pulaski,,0,1,1
5/17/2015,Georgia,GA,Jackson,Jackson,,0,0,0
5/17/2015,Texas,TX,Montgomery,Montgomery,,0,0,0
5/18/2015,Iowa,IA,Harrison,Harrison,,0,0,0
5/18/2015,Texas,TX,Harris,Harris,,1,0,1
5/19/2015,Alabama,AL,Dallas,Dallas,,1,0,1
5/19/2015,Mississippi,MS,Lee,Lee,,0,1,1
5/19/2015,Florida,FL,Miami-dade,Miami-dade,,0,0,0
5/19/2015,Florida,FL,Orange,Orange,,0,1,1
5/19/2015,Texas,TX,Harris,Harris,,1,0,1
5/19/2015,Oklahoma,OK,Muskogee,Muskogee,,1,0,1
5/19/2015,North Carolina,NC,Cumberland,Cumberland,,0,0,0
5/20/2015,Wyoming,WY,Campbell,Campbell,,1,0,1
5/20/2015,Georgia,GA,Gwinnett,Gwinnett,,0,0,0
5/20/2015,New Mexico,NM,Eddy,Eddy,,0,0,0
5/20/2015,North Carolina,NC,Beaufort,Beaufort,,0,0,0
5/20/2015,Wyoming,WY,Natrona,Natrona,,0,0,0
5/20/2015,Arkansas,AR,Baxter,Baxter,,0,0,0
5/20/2015,Oregon,OR,Jackson,Jackson,,0,1,1
5/20/2015,North Carolina,NC,Cleveland,Cleveland,,0,1,1
5/20/2015,Georgia,GA,Madison,Madison,,0,0,0
5/21/2015,Florida,FL,Collier,Collier,,0,0,0
5/21/2015,California,CA,Sacramento,Sacramento,,0,1,1
5/21/2015,Kansas,KS,Sedgwick,Sedgwick,,0,1,1
5/22/2015,Texas,TX,Wood,Wood,,0,1,1
5/22/2015,California,CA,Sacramento,Sacramento,,0,1,1
5/22/2015,Florida,FL,Orange,Orange,,0,1,1
5/22/2015,Washington,WA,Snohomish,Snohomish,,0,0,0
5/22/2015,Georgia,GA,Tift,Tift,,0,1,1
5/23/2015,Missouri,MO,Saint Louis,Saint Louis,,0,0,0
5/23/2015,Minnesota,MN,Olmsted,Olmsted,,0,0,0
5/23/2015,Florida,FL,Okeechobee,Okeechobee,,0,2,2
5/23/2015,Montana,MT,Blaine,Blaine,,0,0,0
5/23/2015,Indiana,IN,Porter,Porter,,0,2,2
5/24/2015,Indiana,IN,St. Joseph,St. Joseph,,2,1,3
5/24/2015,North Carolina,NC,Richland,Richland,,0,0,0
5/24/2015,Georgia,GA,Jackson,Jackson,,0,0,0
5/24/2015,Mississippi,MS,Clay,Clay,,0,2,2
5/25/2015,Mississippi,MS,Jackson,Jackson,,0,1,1
5/25/2015,Kentucky,KY,Henderson,Henderson,,0,0,0
5/25/2015,South Dakota,SD,Brown,Brown,,1,0,1
5/25/2015,Virginia,VA,Roanoke,Roanoke,,0,1,1
5/25/2015,Alabama,AL,Blount,Blount,,1,1,2
5/25/2015,Florida,FL,Holmes,Holmes,,0,1,1
5/26/2015,Texas,TX,Montgomery,Montgomery,,0,0,0
5/26/2015,Missouri,MO,Boone,Boone,,0,0,0
5/26/2015,Texas,TX,Travis,Travis,,1,0,1
5/26/2015,Texas,TX,Montgomery,Montgomery,,0,0,0
5/26/2015,California,CA,Sacramento,Sacramento,,1,0,1
5/27/2015,Oklahoma,OK,Washington,Washington,,0,0,0
5/27/2015,Tennessee,TN,McMinn,McMinn,,0,0,0
5/28/2015,Virginia,VA,Rockbridge,Rockbridge,,2,0,2
5/28/2015,Texas,TX,Fort Bend,Fort Bend,,1,0,1
5/28/2015,California,CA,Merced,Merced,,0,0,0
5/28/2015,Texas,TX,Fort Bend,Fort Bend,,1,0,1
5/28/2015,Kansas,KS,Montgomery,Montgomery,,0,1,1
5/28/2015,Oklahoma,OK,Nowata,Nowata,,0,1,1
5/28/2015,Missouri,MO,Greene,Greene,,0,0,0
5/28/2015,South Carolina,SC,Richland,Richland,,0,0,0
5/28/2015,Texas,TX,Montgomery,Montgomery,,0,0,0
5/28/2015,California,CA,Orange,Orange,,0,2,2
5/29/2015,Texas,TX,Parmer,Parmer,,1,0,1
5/29/2015,Pennsylvania,PA,York,York,,3,0,3
5/29/2015,Washington,WA,Spokane,Spokane,,0,0,0
5/29/2015,Alabama,AL,DeKalb,DeKalb,,0,0,0
5/29/2015,Georgia,GA,Newton,Newton,,0,1,1
5/29/2015,Oklahoma,OK,Okmulgee,Okmulgee,,1,0,1
5/29/2015,Kentucky,KY,Trigg,Trigg,,0,1,1
