county,population
Calhoun County,7559
Clay County,8880
Doddridge County,8471
Fayette County,45161
Gilmer County,8497
Grant County,11639
Greenbrier County,35581
Hampshire County,23439
Hancock County,30248
Hardy County,13954
Harrison County,68680
Jackson County,29131
Jefferson County,55624
Kanawha County,190353
Lewis County,16447
Lincoln County,21521
Logan County,35248
McDowell County,20388
Marion County,56780
Marshall County,32338
Mason County,27148
Mercer County,61762
Mineral County,27538
Mingo County,25739
Monongalia County,103486
Monroe County,13612
Morgan County,17516
Nicholas County,25718
Ohio County,43261
Pendleton County,7229
Pleasants County,7588
Pocahontas County,8652
Preston County,33918
Putnam County,56634
Raleigh County,78185
Randolph County,29374
Ritchie County,10076
Roane County,14595
Summers County,13329
Taylor County,17100
Tucker County,7051
Tyler County,9086
Upshur County,24662
Wayne County,41507
Webster County,8751
Wetzel County,15957
Wirt County,5791
Wood County,86465
Wyoming County,22576
Wisconsin,5751974
Adams County,20129
Ashland County,15998
Barron County,45343
Bayfield County,14975
Brown County,256245
Buffalo County,13230
Burnett County,15230
Calumet County,49472
Chippewa County,63334
Clark County,34354
Columbia County,56638
Crawford County,16347
Dane County,516338
Dodge County,88090
Door County,27466
Douglas County,43641
Dunn County,44076
Eau Claire County,101688
Florence County,4345
Fond du Lac County,101986
Forest County,9102
Grant County,51681
Green County,36856
Green Lake County,18759
Iowa County,23585
Iron County,5859
Jackson County,20577
Jefferson County,84369
Juneau County,26338
Kenosha County,167856
Kewaunee County,20336
La Crosse County,117446
Lafayette County,16778
Langlade County,19252
Lincoln County,28104
Manitowoc County,79959
Marathon County,135131
Marinette County,41047
Marquette County,15071
Menominee County,4504
Milwaukee County,958546
Monroe County,45158
Oconto County,37463
Oneida County,35323
Outagamie County,182170
Ozaukee County,87580
Pepin County,7297
Pierce County,41028
Polk County,43331
Portage County,70521
Price County,13656
Racine County,194833
Richland County,17745
Rock County,160950
Rusk County,14350
St. Croix County,86544
Sauk County,62975
Sawyer County,16361
Shawano County,41347
Sheboygan County,114998
Taylor County,20415
Trempealeau County,29409
Vernon County,30190
Vilas County,21403
Walworth County,103193
Washburn County,15658
Washington County,133600
Waukesha County,395431
Waupaca County,51948
Waushara County,24093
Winnebago County,169330
Wood County,73593
Wyoming,582548
Albany County,37622
Big Horn County,11853
Campbell County,48132
Carbon County,15872
Converse County,14203
Crook County,7237
Fremont County,40562
Goshen County,13526
Hot Springs County,4786
Johnson County,8582
Laramie County,96038
Lincoln County,18563
Natrona County,81375
Niobrara County,2489
Park County,28962
Platte County,8772
Sheridan County,29848
Sublette County,10152
Sweetwater County,44957
Teton County,22777
Uinta County,20827
Washakie County,8275
Weston County,7138
