county,population
Dakota County,411790
Dodge County,20381
Douglas County,36568
Faribault County,14106
Fillmore County,20769
Freeborn County,30742
Goodhue County,46021
Grant County,5926
Hennepin County,1211264
Houston County,18699
Hubbard County,20633
Isanti County,38269
Itasca County,45321
Jackson County,10273
Kanabec County,15971
Kandiyohi County,42492
Kittson County,4455
Koochiching County,12848
Lac qui Parle County,6901
Lake County,10600
Lake of the Woods County,3889
Le Sueur County,27812
Lincoln County,5766
Lyon County,25776
McLeod County,35776
Mahnomen County,5503
Marshall County,9419
Martin County,20241
Meeker County,23126
Mille Lacs County,25557
Morrison County,32807
Mower County,39413
Murray County,8435
Nicollet County,33372
Nobles County,21701
Norman County,6587
Olmsted County,150055
Otter Tail County,57488
Pennington County,14110
Pine County,29081
Pipestone County,9321
Polk County,31492
Pope County,10926
Ramsey County,532912
Red Lake County,3998
Redwood County,15531
Renville County,14932
Rice County,64997
Rock County,9377
Roseau County,15678
St. Louis County,200647
Scott County,139182
Sherburne County,90888
Sibley County,14925
Stearns County,153972
Steele County,36481
Stevens County,9848
Swift County,9489
Todd County,24357
Traverse County,3379
Wabasha County,21459
Wadena County,13590
Waseca County,18926
Washington County,248541
Watonwan County,10985
Wilkin County,6460
Winona County,51057
Wright County,129801
Yellow Medicine County,9981
Mississippi,2990623
Adams County,32072
Alcorn County,37250
Amite County,12598
Attala County,18825
Benton County,8296
Bolivar County,33822
Calhoun County,14702
Carroll County,10233
Chickasaw County,17402
Choctaw County,8386
Claiborne County,9168
Clarke County,16279
Clay County,20138
Coahoma County,24843
Copiah County,28980
Covington County,19151
DeSoto County,170773
Forrest County,75895
Franklin County,7778
George County,23315
Greene County,14342
Grenada County,21605
Hancock County,45973
Harrison County,198344
Hinds County,245278
Holmes County,18515
Humphreys County,8795
Issaquena County,1387
Itawamba County,23399
Jackson County,141439
Jasper County,16531
Jefferson County,7579
Jefferson Davis County,11825
Jones County,68405
Kemper County,10230
Lafayette County,52030
Lamar County,60089
Lauderdale County,79266
Lawrence County,12602
Leake County,23179
Lee County,84761
Leflore County,30716
Lincoln County,34739
Lowndes County,59813
Madison County,100860
Marion County,25682
Marshall County,36173
Monroe County,36062
Montgomery County,10361
Neshoba County,29444
Newton County,21714
Noxubee County,11063
Oktibbeha County,49081
Panola County,34455
Pearl River County,55134
Perry County,12051
Pike County,39957
Pontotoc County,30795
Prentiss County,25408
Quitman County,7691
Rankin County,148425
Scott County,28552
Sharkey County,4613
Simpson County,27508
Smith County,16212
Stone County,18086
Sunflower County,27407
Tallahatchie County,14705
Tate County,28253
Tippah County,21969
Tishomingo County,19427
Tunica County,10495
Union County,28149
Walthall County,14850
Warren County,47944
Washington County,49012
