date,state,city_or_county,n_killed,n_injured,n_total,county
9/4/2015,Texas,Parker,1,0,1,Parker
9/4/2015,Texas,Madison,1,1,2,Madison
9/4/2015,Alabama,Butler,0,0,0,Butler
9/4/2015,Minnesota,Otter Tail,0,1,1,Otter Tail
9/4/2015,Illinois,McHenry,1,0,1,McHenry
9/4/2015,Indiana,Bartholomew,0,0,0,Bartholomew
9/5/2015,West Virginia,Greenbrier,0,1,1,Greenbrier
9/5/2015,New Mexico,San Juan,0,1,1,San Juan
9/5/2015,Alabama,Dale,0,1,1,Dale
9/5/2015,South Carolina,Beaufort,0,0,0,Beaufort
9/5/2015,Florida,Putnam,1,0,1,Putnam
9/5/2015,Mississippi,Hancock,0,1,1,Hancock
9/5/2015,South Carolina,Beaufort,0,1,1,Beaufort
9/6/2015,Florida,Indian River,0,0,0,Indian River
9/6/2015,Virginia,York,1,0,1,York
9/6/2015,North Carolina,Cumberland,0,1,1,Cumberland
9/6/2015,Florida,Manatee,0,0,0,Manatee
9/6/2015,Texas,Harris,1,0,1,Harris
9/6/2015,Alabama,Blount,0,0,0,Blount
9/6/2015,Texas,Liberty,0,1,1,Liberty
9/7/2015,Texas,Gregg,0,0,0,Gregg
9/7/2015,Missouri,Cass,0,2,2,Cass
9/7/2015,Florida,Orange,0,1,1,Orange
9/7/2015,Virginia,Henrico,1,0,1,Henrico
9/7/2015,Washington,Spokane,0,0,0,Spokane
9/7/2015,Washington,Spokane,0,0,0,Spokane
9/7/2015,Louisiana,Lafayette,0,0,0,Lafayette
9/7/2015,Louisiana,Lafayette,0,0,0,Lafayette
9/8/2015,South Carolina,Horry,0,0,0,Horry
9/8/2015,Alabama,Coosa,2,0,2,Coosa
9/8/2015,Virginia,Henrico,0,2,2,Henrico
9/8/2015,Virginia,Henrico,0,0,0,Henrico
9/8/2015,Virginia,Henrico,0,0,0,Henrico
9/8/2015,North Carolina,Hoke,0,2,2,Hoke
9/8/2015,California,Monterey,0,0,0,Monterey
9/9/2015,Nevada,Storey,1,0,1,Storey
9/9/2015,Arkansas,Baxter,0,0,0,Baxter
9/9/2015,Kentucky,Wolfe,0,1,1,Wolfe
9/9/2015,Florida,Miami-dade,0,1,1,Miami-dade
9/9/2015,Tennessee,Crockett,0,0,0,Crockett
9/10/2015,Alabama,DeKalb,1,0,1,DeKalb
9/10/2015,Georgia,Dekalb,0,1,1,Dekalb
9/10/2015,Texas,Smith,1,0,1,Smith
9/10/2015,Ohio,Lawrence,0,0,0,Lawrence
9/11/2015,Alabama,Lauderdale,2,1,3,Lauderdale
9/11/2015,Tennessee,Henderson,1,1,2,Henderson
9/11/2015,Kentucky,Laurel,0,0,0,Laurel
9/11/2015,Indiana,Bartholomew,0,0,0,Bartholomew
9/11/2015,North Carolina,Catawba,0,0,0,Catawba
9/11/2015,Florida,Pinellas,0,0,0,Pinellas
9/11/2015,West Virginia,Summers,2,0,2,Summers
9/11/2015,Alabama,Marshall,2,0,2,Marshall
9/11/2015,Florida,Orange,0,1,1,Orange
9/12/2015,Oregon,Marion,0,0,0,Marion
9/12/2015,Ohio,Clark,0,1,1,Clark
9/12/2015,West Virginia,Fayette,0,0,0,Fayette
9/12/2015,South Carolina,Darlington,0,1,1,Darlington
9/13/2015,North Carolina,Sampson,1,0,1,Sampson
9/13/2015,Virginia,Spotsylvania,0,2,2,Spotsylvania
9/13/2015,Texas,Cherokee,0,0,0,Cherokee
9/13/2015,Texas,Smith,1,0,1,Smith
9/13/2015,Kentucky,Lyon,2,0,2,Lyon
