,date,state,my_citi,n_killed,n_injured,n_total,city_ascii,state_name,state_id,county_name
24,1/27/2014,New Jersey,Neptune,0,1,1,,,,
25,1/28/2014,Illinois,Dekalb,1,1,2,,,,
28,2/3/2014,Virginia,Mc Lean,1,0,1,,,,
33,2/9/2014,New York,Corona,0,1,1,,,,
43,3/6/2014,Washington,Tumtum,1,0,1,,,,
48,3/11/2014,Massachusetts,Middleboro,0,0,0,,,,
52,3/17/2014,New Jersey,Neptune,0,1,1,,,,
53,3/19/2014,Maryland,Curtis Bay,2,0,2,,,,
54,3/24/2014,Idaho,Coeur D Alene,2,0,2,,,,
66,4/19/2014,New York,Corona,1,0,1,,,,
70,5/4/2014,Oregon,Mount Hood Parkdale,1,0,1,,,,
71,5/8/2014,Arkansas,Hot Springs National Park,0,0,0,,,,
72,5/8/2014,Arkansas,Hot Springs National Park,0,0,0,,,,
73,5/11/2014,Pennsylvania,Mc Kees Rocks,0,1,1,,,,
75,5/17/2014,Arkansas,Hot Springs National Park,0,1,1,,,,
79,5/22/2014,Maryland,Brooklyn,0,1,1,,,,
83,5/26/2014,New Jersey,Neptune,0,2,2,,,,
88,5/30/2014,Michigan,Highland,0,0,0,,,,
100,6/16/2014,New Jersey,Neptune,0,0,0,,,,
101,6/16/2014,Pennsylvania,Wilkes Barre,0,0,0,,,,
102,6/17/2014,New Jersey,Neptune,0,0,0,,,,
113,7/4/2014,New Jersey,Neptune,0,0,0,,,,
129,7/20/2014,North Carolina,Winston Salem,1,2,3,,,,
130,7/20/2014,Illinois,Lovejoy,0,1,1,,,,
132,7/22/2014,Arkansas,Hot Springs National Park,0,1,1,,,,
134,7/26/2014,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
150,8/13/2014,New Mexico,Zuni,0,0,0,,,,
152,8/16/2014,Oklahoma,Mcalester,1,0,1,,,,
157,8/25/2014,Arizona,Willow Beach,1,0,1,,,,
158,8/26/2014,New York,Corona,0,1,1,,,,
162,9/9/2014,Louisiana,La Place,0,0,0,,,,
166,9/14/2014,Louisiana,La Place,1,0,1,,,,
167,9/15/2014,Louisiana,La Place,0,0,0,,,,
169,9/21/2014,Michigan,Drummond Island,1,0,1,,,,
173,10/14/2014,California,Pacoima,1,0,1,,,,
201,12/3/2014,North Carolina,Winston Salem,0,2,2,,,,
204,12/6/2014,New York,Corona,0,0,0,,,,
206,12/12/2014,Louisiana,La Place,0,0,0,,,,
207,12/14/2014,Illinois,Lovejoy,0,1,1,,,,
215,12/30/2014,Louisiana,La Place,0,1,1,,,,
220,1/6/2015,New York,Arverne,0,2,2,,,,
221,1/6/2015,New York,Corona,1,1,2,,,,
223,1/8/2015,North Carolina,Winston Salem,0,1,1,,,,
227,1/12/2015,Michigan,Oakland,0,1,1,,,,
234,1/17/2015,North Carolina,Winston Salem,0,1,1,,,,
240,1/21/2015,New York,Corona,0,0,0,,,,
244,1/24/2015,New York,Arverne,4,1,5,,,,
246,1/25/2015,New York,Corona,2,0,2,,,,
248,1/26/2015,Massachusetts,Middleboro,0,0,0,,,,
250,1/28/2015,New York,De Ruyter,1,1,2,,,,
263,2/11/2015,North Carolina,Winston Salem,0,1,1,,,,
265,2/13/2015,New York,Arverne,1,1,2,,,,
274,3/6/2015,Illinois,Lovejoy,0,2,2,,,,
275,3/6/2015,New York,Corona,2,0,2,,,,
288,3/26/2015,New York,Corona,1,0,1,,,,
294,3/30/2015,Maryland,Fort George G Meade,1,1,2,,,,
297,3/31/2015,Idaho,Coeur D Alene,0,0,0,,,,
298,3/31/2015,New York,Corona,1,0,1,,,,
303,4/4/2015,Louisiana,La Place,0,0,0,,,,
305,4/8/2015,Illinois,Lovejoy,1,0,1,,,,
307,4/13/2015,Idaho,Coeur D Alene,0,0,0,,,,
323,4/24/2015,New York,Jamaica,0,0,0,,,,
328,4/28/2015,New Jersey,Neptune,0,0,0,,,,
339,5/5/2015,Idaho,Coeur D Alene,1,0,1,,,,
341,5/5/2015,New York,Corona,1,0,1,,,,
342,5/6/2015,Arkansas,Hot Springs National Park,0,0,0,,,,
351,5/11/2015,North Carolina,Winston Salem,1,0,1,,,,
355,5/17/2015,New York,Corona,1,1,2,,,,
363,5/25/2015,New Mexico,Ohkay Owingeh,1,0,1,,,,
378,6/6/2015,South Carolina,Batesburg,1,1,2,,,,
379,6/6/2015,Pennsylvania,Mc Kees Rocks,0,1,1,,,,
384,6/7/2015,New York,Arverne,0,0,0,,,,
409,6/12/2015,North Carolina,Winston Salem,0,1,1,,,,
429,6/17/2015,New York,Arverne,0,1,1,,,,
438,6/18/2015,Michigan,Redford,1,0,1,,,,
448,6/20/2015,New York,Arverne,0,1,1,,,,
453,6/21/2015,New York,Arverne,0,1,1,,,,
470,6/23/2015,Florida,Hallandale,0,1,1,,,,
474,6/24/2015,Michigan,Washington,0,1,1,,,,
479,6/24/2015,Louisiana,La Place,0,0,0,,,,
499,6/27/2015,Illinois,O Fallon,1,0,1,,,,
502,6/28/2015,Alabama,Mc Calla,3,0,3,,,,
504,6/28/2015,North Carolina,Winston Salem,1,0,1,,,,
518,6/30/2015,North Carolina,Winston Salem,0,0,0,,,,
519,6/30/2015,North Carolina,Winston Salem,0,0,0,,,,
531,7/2/2015,Michigan,Highland,0,1,1,,,,
532,7/2/2015,New York,Arverne,0,0,0,,,,
540,7/3/2015,New York,Arverne,0,0,0,,,,
548,7/4/2015,New York,Arverne,0,1,1,,,,
554,7/5/2015,Louisiana,La Place,0,0,0,,,,
558,7/6/2015,North Carolina,Winston Salem,0,1,1,,,,
562,7/7/2015,New York,Arverne,0,0,0,,,,
580,7/10/2015,North Carolina,Winston Salem,0,0,0,,,,
584,7/11/2015,North Carolina,Winston Salem,0,1,1,,,,
600,7/13/2015,Idaho,Coeur D Alene,0,0,0,,,,
613,7/15/2015,New York,Arverne,0,1,1,,,,
618,7/16/2015,North Carolina,Winston Salem,0,0,0,,,,
631,7/17/2015,New York,Arverne,0,1,1,,,,
676,7/22/2015,South Dakota,Mc Laughlin,0,0,0,,,,
692,7/25/2015,California,Mc Farland,1,0,1,,,,
693,7/25/2015,North Carolina,Winston Salem,1,0,1,,,,
697,7/25/2015,Maryland,Brooklyn,0,0,0,,,,
712,7/27/2015,Idaho,Coeur D Alene,0,0,0,,,,
717,7/28/2015,Maryland,Sparrows Point,0,0,0,,,,
721,7/29/2015,Maryland,Sparrows Point,2,0,2,,,,
722,7/29/2015,Florida,Land O Lakes,0,1,1,,,,
735,7/30/2015,Arkansas,Hot Springs National Park,0,0,0,,,,
737,7/31/2015,Michigan,Redford,0,0,0,,,,
742,8/1/2015,Louisiana,La Place,0,1,1,,,,
743,8/1/2015,Alabama,Eight Mile,1,0,1,,,,
745,8/1/2015,Michigan,Davisburg,0,0,0,,,,
749,8/2/2015,New Jersey,Titusville,1,0,1,,,,
750,8/2/2015,Louisiana,La Place,0,0,0,,,,
753,8/2/2015,Louisiana,La Place,0,0,0,,,,
754,8/2/2015,Louisiana,La Place,0,0,0,,,,
762,8/3/2015,North Carolina,Winston Salem,0,1,1,,,,
771,8/4/2015,Pennsylvania,Mc Kees Rocks,1,0,1,,,,
777,8/5/2015,Louisiana,La Place,0,1,1,,,,
784,8/5/2015,New York,Arverne,0,0,0,,,,
785,8/5/2015,New York,Arverne,1,0,1,,,,
820,8/9/2015,North Carolina,Winston Salem,1,1,2,,,,
827,8/9/2015,New York,Corona,0,1,1,,,,
835,8/11/2015,Connecticut,Vernon Rockville,0,0,0,,,,
837,8/11/2015,Iowa,De Witt,0,1,1,,,,
842,8/11/2015,Florida,Dania,1,0,1,,,,
848,8/13/2015,Louisiana,La Place,0,0,0,,,,
864,8/15/2015,New York,Arverne,0,0,0,,,,
866,8/15/2015,Oklahoma,S Coffeyville,0,0,0,,,,
877,8/16/2015,New York,Arverne,1,0,1,,,,
888,8/17/2015,New York,Springfield Gardens,0,1,1,,,,
889,8/17/2015,New York,Arverne,0,0,0,,,,
890,8/17/2015,New York,Arverne,0,1,1,,,,
912,8/20/2015,Texas,Grulla,2,2,4,,,,
915,8/21/2015,Hawaii,Kailua Kona,0,0,0,,,,
933,8/23/2015,New York,Arverne,0,1,1,,,,
944,8/24/2015,New York,Arverne,0,0,0,,,,
953,8/25/2015,Alabama,Mc Calla,0,1,1,,,,
964,8/28/2015,Illinois,Saint Louis,1,0,1,,,,
973,8/29/2015,New York,Corona,1,0,1,,,,
980,8/30/2015,New York,Corona,0,1,1,,,,
993,9/1/2015,North Carolina,Winston Salem,0,1,1,,,,
995,9/1/2015,Hawaii,Kailua Kona,0,0,0,,,,
1002,9/2/2015,New York,Arverne,0,0,0,,,,
1012,9/4/2015,North Carolina,Winston Salem,0,1,1,,,,
1021,9/5/2015,West Virginia,Midway,0,1,1,,,,
1030,9/6/2015,North Carolina,Winston Salem,0,1,1,,,,
1035,9/6/2015,Michigan,Macomb,0,1,1,,,,
1039,9/7/2015,Florida,Dania,1,0,1,,,,
1043,9/8/2015,North Carolina,Winston Salem,0,1,1,,,,
1059,9/10/2015,Arkansas,Hot Springs National Park,0,0,0,,,,
1070,9/12/2015,South Carolina,Saint Helena Island,0,1,1,,,,
1079,9/13/2015,New Hampshire,Tilton,0,0,0,,,,
1082,9/13/2015,Illinois,Mc Clure,0,1,1,,,,
1090,9/14/2015,North Carolina,Winston Salem,1,0,1,,,,
1096,9/15/2015,Louisiana,La Place,0,2,2,,,,
1102,9/17/2015,Maine,North Anson,0,0,0,,,,
1105,9/18/2015,North Carolina,Winston Salem,0,1,1,,,,
1110,9/18/2015,Maryland,Brooklyn,0,0,0,,,,
1115,9/19/2015,North Carolina,Winston Salem,0,1,1,,,,
1117,9/19/2015,Pennsylvania,Wilkes Barre,0,1,1,,,,
1120,9/20/2015,Pennsylvania,Wilkes Barre,0,0,0,,,,
1124,9/20/2015,New York,Corona,0,0,0,,,,
1145,9/24/2015,Arkansas,Hot Springs National Park,1,2,3,,,,
1148,9/25/2015,Pennsylvania,Mc Kees Rocks,2,1,3,,,,
1158,9/27/2015,North Carolina,Willow Spring,0,1,1,,,,
1186,10/1/2015,New York,Corona,0,1,1,,,,
1194,10/3/2015,Illinois,Mc Clure,0,0,0,,,,
1210,10/5/2015,Louisiana,La Place,2,1,3,,,,
1225,10/8/2015,New York,Olivebridge,0,0,0,,,,
1228,10/8/2015,Arkansas,Hot Springs National Park,1,0,1,,,,
1229,10/8/2015,North Carolina,Winston Salem,1,0,1,,,,
1238,10/9/2015,Pennsylvania,Wilkes Barre,0,1,1,,,,
1240,10/9/2015,New Jersey,Wood Ridge,0,0,0,,,,
1242,10/10/2015,New York,Corona,0,0,0,,,,
1248,10/11/2015,New York,Scipio Center,0,0,0,,,,
1258,10/12/2015,North Carolina,Winston Salem,0,1,1,,,,
1264,10/13/2015,New York,Corona,0,0,0,,,,
1268,10/13/2015,North Carolina,Winston Salem,0,2,2,,,,
1295,10/16/2015,North Carolina,Winston Salem,0,1,1,,,,
1299,10/17/2015,Louisiana,La Place,0,1,1,,,,
1315,10/20/2015,New York,Corona,0,0,0,,,,
1320,10/20/2015,Maryland,Sparks Glencoe,0,0,0,,,,
1352,10/23/2015,Louisiana,La Place,0,0,0,,,,
1357,10/24/2015,New York,Corona,0,1,1,,,,
1358,10/24/2015,Wisconsin,Salem,1,0,1,,,,
1377,10/27/2015,North Carolina,Winston Salem,0,1,1,,,,
1387,10/29/2015,Louisiana,La Place,1,0,1,,,,
1398,10/31/2015,North Carolina,Winston Salem,0,2,2,,,,
1402,10/31/2015,North Carolina,Winston Salem,0,1,1,,,,
1411,11/1/2015,New York,Corona,0,1,1,,,,
1417,11/2/2015,North Carolina,Winston Salem,1,0,1,,,,
1438,11/5/2015,Michigan,Macomb,0,0,0,,,,
1440,11/5/2015,Louisiana,La Place,0,1,1,,,,
1452,11/8/2015,North Carolina,Winston Salem,0,2,2,,,,
1455,11/8/2015,New Jersey,Monroe Township,0,0,0,,,,
1459,11/9/2015,California,Van Nuys,1,0,1,,,,
1464,11/9/2015,Louisiana,La Place,1,0,1,,,,
1466,11/9/2015,California,Van Nuys,1,0,1,,,,
1467,11/9/2015,Florida,Saint Johns,0,0,0,,,,
1471,11/10/2015,Virginia,Henrico,0,0,0,,,,
1501,11/15/2015,Pennsylvania,Wilkes Barre,0,0,0,,,,
1513,11/17/2015,North Carolina,Winston Salem,1,0,1,,,,
1534,11/21/2015,Pennsylvania,Wilkes Barre,0,0,0,,,,
1536,11/21/2015,New York,Corona,1,0,1,,,,
1540,11/21/2015,Louisiana,La Place,0,1,1,,,,
1545,11/22/2015,North Carolina,Winston Salem,0,1,1,,,,
1547,11/22/2015,Pennsylvania,Wilkes Barre,0,0,0,,,,
1551,11/22/2015,Georgia,La Fayette,1,0,1,,,,
1560,11/24/2015,Florida,Hallandale,0,2,2,,,,
1570,11/25/2015,Arkansas,Hot Springs National Park,0,1,1,,,,
1571,11/25/2015,Michigan,Macomb,1,0,1,,,,
1612,12/2/2015,New York,Corona,0,2,2,,,,
1637,12/6/2015,Pennsylvania,Mc Donald,0,0,0,,,,
1650,12/8/2015,Massachusetts,Lanesboro,0,1,1,,,,
1658,12/9/2015,North Carolina,Winston Salem,0,0,0,,,,
1672,12/11/2015,Virginia,Mc Lean,0,0,0,,,,
1679,12/12/2015,Illinois,Lovejoy,1,3,4,,,,
1682,12/13/2015,Arkansas,Hot Springs National Park,0,0,0,,,,
1686,12/13/2015,Idaho,Coeur D Alene,1,0,1,,,,
1689,12/13/2015,Pennsylvania,Mc Kees Rocks,0,3,3,,,,
1695,12/14/2015,New York,Corona,0,1,1,,,,
1737,12/20/2015,Iowa,De Witt,1,0,1,,,,
1738,12/20/2015,New York,Corona,0,1,1,,,,
1743,12/21/2015,North Carolina,Winston Salem,0,1,1,,,,
1746,12/22/2015,Michigan,Macomb,0,1,1,,,,
1771,12/25/2015,Ohio,Brookpark,0,0,0,,,,
1779,12/27/2015,New York,Corona,0,1,1,,,,
1785,12/27/2015,Illinois,Carman,0,1,1,,,,
1801,12/29/2015,North Carolina,Winston Salem,0,2,2,,,,
1802,12/29/2015,North Carolina,Winston Salem,0,1,1,,,,
1803,12/29/2015,Michigan,Davisburg,0,0,0,,,,
1806,12/30/2015,South Carolina,Mc Clellanville,0,0,0,,,,
1825,1/1/2016,Kentucky,Falls Of Rough,0,0,0,,,,
1839,1/4/2016,North Carolina,Winston Salem,0,2,2,,,,
1852,1/6/2016,Arkansas,Hot Springs National Park,0,1,1,,,,
1856,1/7/2016,Wisconsin,Fond Du Lac,0,0,0,,,,
1868,1/8/2016,Florida,Loxahatchee,0,0,0,,,,
1875,1/10/2016,North Carolina,Winston Salem,0,0,0,,,,
1880,1/11/2016,New York,Corona,1,0,1,,,,
1883,1/11/2016,North Carolina,Winston Salem,0,0,0,,,,
1887,1/12/2016,Missouri,O Fallon,0,1,1,,,,
1889,1/12/2016,North Carolina,Winston Salem,0,1,1,,,,
1894,1/13/2016,New Jersey,Brick,0,0,0,,,,
1912,1/16/2016,New York,Corona,0,1,1,,,,
1917,1/17/2016,Connecticut,Vernon Rockville,0,1,1,,,,
1921,1/17/2016,Virginia,Ware Neck,1,3,4,,,,
1935,1/20/2016,Arkansas,Hot Springs National Park,0,1,1,,,,
1967,1/25/2016,North Carolina,Winston Salem,0,0,0,,,,
1973,1/26/2016,New York,Springfield Gardens,0,1,1,,,,
1986,1/28/2016,Michigan,Redford,0,1,1,,,,
1993,1/28/2016,Pennsylvania,New Providence,0,0,0,,,,
2000,1/29/2016,New York,Brant Lake,0,1,1,,,,
2008,1/30/2016,New Jersey,Brick,0,0,0,,,,
2017,1/30/2016,Michigan,Clinton Township,0,1,1,,,,
2023,1/31/2016,Michigan,Clinton Township,0,1,1,,,,
2031,1/31/2016,New York,La Fayette,0,0,0,,,,
2032,1/31/2016,North Carolina,Winston Salem,0,0,0,,,,
2039,2/1/2016,North Carolina,Winston Salem,0,0,0,,,,
2042,2/2/2016,Florida,Opa Locka,0,2,2,,,,
2055,2/4/2016,New York,Harpursville,0,0,0,,,,
2060,2/5/2016,New York,Corona,0,0,0,,,,
2069,2/6/2016,North Carolina,Winston Salem,1,0,1,,,,
2077,2/7/2016,Idaho,Coeur D Alene,0,0,0,,,,
2113,2/15/2016,Vermont,Cuttingsville,1,0,1,,,,
2163,2/21/2016,Georgia,Saint Simons Island,0,1,1,,,,
2167,2/21/2016,New York,Corona,0,0,0,,,,
2177,2/23/2016,District of Columbia,Naval Anacost Annex,0,1,1,,,,
2178,2/23/2016,Pennsylvania,Wilkes Barre,0,0,0,,,,
2183,2/24/2016,Tennessee,Soddy Daisy,0,1,1,,,,
2188,2/25/2016,Illinois,Dekalb,0,2,2,,,,
2189,2/25/2016,Florida,Hallandale,0,0,0,,,,
2190,2/25/2016,North Carolina,Winston Salem,0,0,0,,,,
2232,3/2/2016,Kentucky,Ft Mitchell,0,0,0,,,,
2237,3/3/2016,Michigan,Davisburg,0,1,1,,,,
2246,3/4/2016,Michigan,Washington,0,0,0,,,,
2249,3/4/2016,New York,Corona,0,1,1,,,,
2250,3/4/2016,New York,Corona,0,0,0,,,,
2260,3/5/2016,Maine,West Enfield,0,0,0,,,,
2268,3/6/2016,New York,Corona,0,1,1,,,,
2281,3/8/2016,North Carolina,Winston Salem,0,0,0,,,,
2286,3/9/2016,New York,Corona,0,1,1,,,,
2301,3/12/2016,Florida,Fort Mc Coy,0,6,6,,,,
