date,state,city_or_county,n_killed,n_injured,n_total,county
10/1/2014,Massachusetts,Montague,0,0,0,Montague
10/1/2014,Connecticut,Stafford,0,0,0,Stafford
10/2/2014,New Jersey,Fairfield,0,0,0,Fairfield
10/3/2014,Connecticut,Cheshire,0,0,0,Cheshire
10/4/2014,Tennessee,Madison,1,0,1,Madison
10/5/2014,Maryland,Hanover,0,0,0,Hanover
10/8/2014,West Virginia,Hanover,0,0,0,Hanover
10/8/2014,Vermont,Goshen,0,0,0,Goshen
10/11/2014,Virginia,Henrico,0,1,1,Henrico
10/11/2014,Virginia,Henrico,0,1,1,Henrico
10/12/2014,Maine,Mercer,0,0,0,Mercer
10/13/2014,Maine,York,0,0,0,York
10/14/2014,Connecticut,Oxford,0,0,0,Oxford
10/17/2014,New Hampshire,Fremont,1,0,1,Fremont
10/17/2014,Tennessee,Buchanan,1,0,1,Buchanan
10/17/2014,Arizona,Dewey,1,1,2,Dewey
10/20/2014,Virginia,Henrico,1,0,1,Henrico
10/21/2014,Virginia,Henrico,0,0,0,Henrico
10/22/2014,New York,Russell,0,0,0,Russell
10/22/2014,New York,Ulster,0,0,0,Ulster
10/23/2014,Michigan,Chesterfield,0,0,0,Chesterfield
10/23/2014,Georgia,Darlington,0,0,0,Darlington
10/25/2014,Alabama,Columbus,0,0,0,Columbus
10/26/2014,New Jersey,Orange,0,2,2,Orange
10/27/2014,Virginia,Henrico,0,1,1,Henrico
10/28/2014,New Hampshire,Salem,0,0,0,Salem
10/28/2014,West Virginia,Josephine,0,0,0,Josephine
10/28/2014,Connecticut,Vernon,0,0,0,Vernon
10/29/2014,New York,Clay,0,0,0,Clay
10/29/2014,New York,Ulster,0,0,0,Ulster
10/29/2014,Virginia,Henrico,0,0,0,Henrico
10/30/2014,Virginia,Henrico,0,0,0,Henrico
10/30/2014,Rhode Island,Johnston,0,0,0,Johnston
10/31/2014,Florida,Lackawanna,0,1,1,Lackawanna
11/10/2014,Michigan,Wallace,1,0,1,Wallace
11/10/2014,New Jersey,Greenville,0,0,0,Greenville
11/11/2014,Tennessee,Houston,0,1,1,Houston
11/11/2014,Texas,Greenwood,2,0,2,Greenwood
11/11/2014,Tennessee,Madison,0,0,0,Madison
11/11/2014,Pennsylvania,Dubois,0,0,0,Dubois
11/13/2014,Massachusetts,Montague,0,0,0,Montague
11/14/2014,Wisconsin,Lafayette,1,1,2,Lafayette
11/15/2014,Delaware,Lincoln,0,1,1,Lincoln
11/17/2014,New Jersey,Wayne,0,0,0,Wayne
11/18/2014,Massachusetts,Dorchester,0,1,1,Dorchester
11/20/2014,Vermont,Grafton,0,0,0,Grafton
11/20/2014,Vermont,New Haven,0,0,0,New Haven
11/21/2014,Massachusetts,Dorchester,0,0,0,Dorchester
11/22/2014,New York,Amherst,0,0,0,Amherst
11/23/2014,New York,York,0,1,1,York
11/23/2014,Massachusetts,Dorchester,0,0,0,Dorchester
11/23/2014,New York,Stafford,0,0,0,Stafford
11/27/2014,New Jersey,Jackson,0,0,0,Jackson
11/29/2014,Texas,Randall,0,1,1,Randall
12/2/2014,Virginia,Ringgold,0,0,0,Ringgold
12/4/2014,California,Humboldt,0,0,0,Humboldt
12/4/2014,Connecticut,Vernon,0,0,0,Vernon
12/6/2014,Mississippi,Copiah,1,0,1,Copiah
12/7/2014,Florida,Broward,0,1,1,Broward
12/7/2014,Mississippi,Monroe,0,0,0,Monroe
12/8/2014,Missouri,Warren,0,0,0,Warren
12/8/2014,Alaska,Barrow,1,0,1,Barrow
12/9/2014,Utah,Box Elder,0,0,0,Box Elder
12/9/2014,Mississippi,Lee,2,0,2,Lee
12/11/2014,Michigan,Oakland,0,0,0,Oakland
12/12/2014,Virginia,Henrico,0,0,0,Henrico
12/15/2014,West Virginia,Liberty,0,0,0,Liberty
12/16/2014,Connecticut,Cheshire,2,0,2,Cheshire
12/16/2014,Maine,Benton,1,0,1,Benton
12/17/2014,Vermont,Vernon,0,0,0,Vernon
12/17/2014,Maine,Windsor,0,0,0,Windsor
12/18/2014,Massachusetts,Dorchester,0,0,0,Dorchester
12/18/2014,Massachusetts,Berkshire,0,0,0,Berkshire
12/19/2014,Virginia,Grafton,1,0,1,Grafton
12/20/2014,Maine,York,0,0,0,York
