latitude,longitude
39.2766,-76.7403
42.4142,-82.9582
34.1259,-118.186
33.7475,-84.3003
39.2056,-96.068
42.3484,-83.0597
32.4921,-93.7789
40.6155,-74.0816
40.6804,-73.9167
39.4284,-75.2254
41.9873,-87.6582
38.814,-104.749
27.3034,-98.6823
43.1027,-87.9752
35.8255,-88.9093
36.7515,-76.3443
41.4515,-81.7724
33.4347,-112.006
26.7875,-80.0714
29.4769,-98.513
36.9303,-82.2722
27.7515,-97.4432
40.7214,-74.0701
31.0843,-97.6373
43.0889,-79.0488
36.7987,-76.3975
40.2138,-74.8426
32.8671,-97.3165
37.0959,-76.4894
42.4684,-70.9617
43.0199,-87.9896
39.3499,-76.6721
36.9875,-76.4097
36.1989,-115.118
43.0169,-87.9252
39.3542,-76.5553
36.9881,-76.4185
27.7097,-97.3873
30.4817,-90.8615
39.4339,-75.2276
35.2517,-97.495
37.5724,-77.4825
41.0799,-85.1645
35.3229,-119.038
39.7827,-89.6411
34.2291,-91.9779
44.0737,-92.5004
61.154,-149.924
38.6196,-90.2558
37.0698,-83.3789
47.6573,-120.917
42.3756,-83.0643
38.0534,-84.4808
33.7892,-84.4459
41.7402,-87.6114
42.3727,-83.1921
38.119,-83.1214
26.1522,-80.2348
38.5982,-90.235
27.8428,-82.7056
37.5266,-77.4125
40.2051,-74.7595
41.6611,-91.5302
34.6937,-86.6275
31.1192,-97.6979
35.8689,-80.2366
42.2884,-89.116
35.3182,-78.7225
43.093,-79.0543
43.0664,-76.1558
38.9602,-77.0199
38.8807,-76.9293
38.8569,-76.9718
38.917,-77.0006
38.903,-77.0504
38.9192,-76.9994
42.423,-83.2968
32.3887,-91.7928
38.0507,-84.4829
40.8396,-73.8758
38.8876,-76.9949
39.8258,-86.027
40.6505,-73.9573
36.8513,-82.2958
39.7675,-84.2269
38.356,-81.644
43.1657,-77.6462
28.5064,-81.1511
34.2022,-78.9474
30.2076,-81.5532
39.6077,-84.3014
30.4491,-91.1871
39.327,-76.5637
38.9596,-76.9571
40.8634,-73.9676
27.7703,-82.6583
31.0957,-97.6892
33.7201,-117.985
37.333,-121.888
39.311,-76.5859
43.5848,-116.554
43.0557,-83.5209
34.3401,-89.5475
40.229,-75.3879
39.0999,-76.8122
39.763,-86.1185
35.5919,-89.2691
41.3434,-82.1
32.3749,-86.3094
27.9594,-82.5056
38.9734,-92.3354
38.9488,-76.9952
38.855,-76.9635
38.8665,-76.9837
28.3552,-80.6626
30.7586,-86.5752
26.1272,-80.2143
30.5715,-97.4202
30.2093,-97.6529
61.2034,-149.778
31.1108,-97.7504
34.9226,-81.0185
34.4576,-86.5866
39.7814,-86.1233
35.9904,-78.8692
34.2034,-79.258
33.6241,-112.394
36.0351,-78.8924
33.567,-112.118
39.7807,-86.1436
39.9421,-75.1539
35.9975,-78.8981
42.4217,-82.999
40.0374,-76.2993
45.5335,-122.542
