,n_killed,latitude,longitude,output
105,3,29.6278,-95.5417,"{ lat: 29.6278, lng: -95.5417, count: 3 }"
106,3,29.5923,-98.6248,"{ lat: 29.5923, lng: -98.6248, count: 3 }"
107,3,29.454,-98.5782,"{ lat: 29.454, lng: -98.5782, count: 3 }"
108,3,37.8081,-94.3652,"{ lat: 37.8081, lng: -94.3652, count: 3 }"
109,3,34.1751,-118.147,"{ lat: 34.1751, lng: -118.147, count: 3 }"
110,3,41.7226,-111.819,"{ lat: 41.7226, lng: -111.819, count: 3 }"
111,3,38.0205,-121.325,"{ lat: 38.0205, lng: -121.325, count: 3 }"
112,3,33.9699,-117.25299999999999,"{ lat: 33.9699, lng: -117.25299999999999, count: 3 }"
113,3,36.0991,-115.09,"{ lat: 36.0991, lng: -115.09, count: 3 }"
114,3,34.969,-78.9219,"{ lat: 34.969, lng: -78.9219, count: 3 }"
115,3,32.6865,-96.7828,"{ lat: 32.6865, lng: -96.7828, count: 3 }"
116,3,26.3748,-98.79899999999999,"{ lat: 26.3748, lng: -98.79899999999999, count: 3 }"
117,3,26.7554,-80.0723,"{ lat: 26.7554, lng: -80.0723, count: 3 }"
118,3,26.7603,-80.0737,"{ lat: 26.7603, lng: -80.0737, count: 3 }"
119,3,25.9492,-80.3409,"{ lat: 25.9492, lng: -80.3409, count: 3 }"
120,3,35.1556,-78.9183,"{ lat: 35.1556, lng: -78.9183, count: 3 }"
121,3,40.7603,-86.7753,"{ lat: 40.7603, lng: -86.7753, count: 3 }"
122,3,35.3815,-118.97399999999999,"{ lat: 35.3815, lng: -118.97399999999999, count: 3 }"
123,3,38.8682,-76.8916,"{ lat: 38.8682, lng: -76.8916, count: 3 }"
124,3,35.0383,-89.8579,"{ lat: 35.0383, lng: -89.8579, count: 3 }"
125,3,37.8665,-82.5388,"{ lat: 37.8665, lng: -82.5388, count: 3 }"
126,3,43.3639,-124.226,"{ lat: 43.3639, lng: -124.226, count: 3 }"
127,3,33.828,-84.95100000000001,"{ lat: 33.828, lng: -84.95100000000001, count: 3 }"
128,3,34.286,-118.446,"{ lat: 34.286, lng: -118.446, count: 3 }"
129,3,28.5457,-82.3908,"{ lat: 28.5457, lng: -82.3908, count: 3 }"
130,3,32.2361,-110.781,"{ lat: 32.2361, lng: -110.781, count: 3 }"
131,3,38.8935,-94.594,"{ lat: 38.8935, lng: -94.594, count: 3 }"
132,3,40.8564,-74.0735,"{ lat: 40.8564, lng: -74.0735, count: 3 }"
133,3,39.9138,-83.7866,"{ lat: 39.9138, lng: -83.7866, count: 3 }"
134,3,33.4905,-86.9639,"{ lat: 33.4905, lng: -86.9639, count: 3 }"
135,3,27.6783,-97.2762,"{ lat: 27.6783, lng: -97.2762, count: 3 }"
136,3,33.5683,-86.7649,"{ lat: 33.5683, lng: -86.7649, count: 3 }"
137,3,30.3871,-81.6722,"{ lat: 30.3871, lng: -81.6722, count: 3 }"
138,3,29.9648,-90.0376,"{ lat: 29.9648, lng: -90.0376, count: 3 }"
139,3,38.0014,-121.29299999999999,"{ lat: 38.0014, lng: -121.29299999999999, count: 3 }"
140,3,34.5429,-97.9615,"{ lat: 34.5429, lng: -97.9615, count: 3 }"
141,3,33.9505,-84.2511,"{ lat: 33.9505, lng: -84.2511, count: 3 }"
