Per Capita Personal Income by County (Dollars),,,,,,
Series ID,Region Name,Region Code,2014,2015,2016,2017
PCPI29011,"Barton County, MO",29011,34715,33176,33340,34589
PCPI20009,"Barton County, KS",20009,50470,45893,43852,45222
PCPI13015,"Bartow County, GA",13015,33161,35001,36142,37362
PCPI48021,"Bastrop County, TX",48021,31987,33588,33761,34969
PCPI29013,"Bates County, MO",29013,33420,34282,35026,37037
PCPI21011,"Bath County, KY",21011,28256,29012,29073,29669
PCPI51017,"Bath County, VA",51017,49606,54181,55608,58876
PCPI05005,"Baxter County, AR",05005,33514,34074,34191,35293
PCPI12005,"Bay County, FL",12005,38882,40526,41327,42476
PCPI26017,"Bay County, MI",26017,36506,38382,39382,41024
PCPI55007,"Bayfield County, WI",55007,41229,42258,43470,45438
PCPI48023,"Baylor County, TX",48023,39165,39219,37599,39650
PCPI46005,"Beadle County, SD",46005,46766,49626,48876,47499
PCPI16007,"Bear Lake County, ID",16007,35217,36353,36914,37634
PCPI37013,"Beaufort County, NC",37013,37570,38619,39241,40926
PCPI45013,"Beaufort County, SC",45013,48282,50785,51613,52763
PCPI22011,"Beauregard Parish, LA",22011,38707,39719,39577,41218
PCPI40007,"Beaver County, OK",40007,54485,51271,44475,48213
PCPI49001,"Beaver County, UT",49001,33409,30295,28301,29364
PCPI42007,"Beaver County, PA",42007,41864,43436,44215,45851
PCPI30001,"Beaverhead County, MT",30001,41050,44636,44424,44381
PCPI27005,"Becker County, MN",27005,42150,43265,43876,44959
PCPI40009,"Beckham County, OK",40009,44359,37731,33751,36421
PCPI47003,"Bedford County, TN",47003,33715,34304,35256,36427
PCPI42009,"Bedford County, PA",42009,35904,38075,38266,40149
PCPI51019,"Bedford County, VA",51019,40619,42520,42545,43826
PCPI48025,"Bee County, TX",48025,29971,27684,26419,27078
PCPI33001,"Belknap County, NH",33001,52367,55129,56590,59032
PCPI21013,"Bell County, KY",21013,26707,27426,27173,28395
PCPI48027,"Bell County, TX",48027,39834,41138,41013,42024
PCPI39013,"Belmont County, OH",39013,36186,37164,36698,39646
PCPI27007,"Beltrami County, MN",27007,36115,37701,38447,39275
PCPI13017,"Ben Hill County, GA",13017,28516,29884,28997,30247
PCPI16009,"Benewah County, ID",16009,32122,34985,34969,35520
PCPI46007,"Bennett County, SD",46007,28162,29032,27087,29283
PCPI50003,"Bennington County, VT",50003,46970,48874,49688,51980
PCPI38005,"Benson County, ND",38005,30745,29483,32298,30142
PCPI08011,"Bent County, CO",08011,25549,27446,27336,26417
PCPI41003,"Benton County, OR",41003,40397,42083,43658,45273
PCPI29015,"Benton County, MO",29015,32887,34149,33447,33736
PCPI18007,"Benton County, IN",18007,39152,36246,39530,38447
PCPI28009,"Benton County, MS",28009,26798,28032,28359,29022
PCPI19011,"Benton County, IA",19011,47536,48401,48553,49693
PCPI05007,"Benton County, AR",05007,73155,77768,79857,81533
PCPI53005,"Benton County, WA",53005,41699,44430,44968,45587
PCPI27009,"Benton County, MN",27009,38316,39949,41185,42119
PCPI47005,"Benton County, TN",47005,30079,30976,31592,33164
