month,state,permit,totals
2018-04,New Hampshire,1916,11372
2018-04,New Jersey,0,8958
2018-04,New Mexico,1073,12859
2018-04,New York,3950,33326
2018-04,North Carolina,31747,47770
2018-04,North Dakota,872,5793
2018-04,Ohio,19651,65456
2018-04,Oklahoma,4,25345
2018-04,Oregon,5900,32494
2018-04,Pennsylvania,29767,91401
2018-04,Puerto Rico,0,2224
2018-04,Rhode Island,0,2332
2018-04,South Carolina,2612,19286
2018-04,South Dakota,917,7040
2018-04,Tennessee,16106,53166
2018-04,Texas,29547,114704
2018-04,Utah,20770,29213
2018-04,Vermont,0,5081
2018-04,Virgin Islands,70,133
2018-04,Virginia,1233,37720
2018-04,Washington,16239,51693
2018-04,West Virginia,8021,22379
2018-04,Wisconsin,11655,41542
2018-04,Wyoming,702,5065
2018-03,Alabama,29286,50610
2018-03,Alaska,261,7800
2018-03,Arizona,7782,41551
2018-03,Arkansas,4007,24492
2018-03,California,50714,136228
2018-03,Colorado,14922,61839
2018-03,Connecticut,7081,18091
2018-03,Delaware,669,6298
2018-03,District of Columbia,284,381
2018-03,Florida,27957,137997
2018-03,Georgia,31261,67791
2018-03,Guam,0,146
2018-03,Hawaii,1417,1420
2018-03,Idaho,11108,24342
2018-03,Illinois,24775,271714
2018-03,Indiana,70713,121376
2018-03,Iowa,14986,21697
2018-03,Kansas,817,18772
2018-03,Kentucky,390708,421247
2018-03,Louisiana,4451,31519
2018-03,Maine,892,10684
2018-03,Mariana Islands,0,25
2018-03,Maryland,3653,17841
2018-03,Massachusetts,10734,22326
2018-03,Michigan,27407,59589
2018-03,Minnesota,51098,72268
2018-03,Mississippi,3776,27387
2018-03,Missouri,1186,58076
2018-03,Montana,1845,13402
2018-03,Nebraska,6293,9048
2018-03,Nevada,2825,14322
2018-03,New Hampshire,2301,14184
2018-03,New Jersey,0,10195
2018-03,New Mexico,1467,18357
2018-03,New York,3089,37050
2018-03,North Carolina,37263,61950
2018-03,North Dakota,775,6803
2018-03,Ohio,21984,91247
2018-03,Oklahoma,8,35317
2018-03,Oregon,6514,41616
2018-03,Pennsylvania,34317,123031
2018-03,Puerto Rico,0,2072
2018-03,Rhode Island,0,3528
2018-03,South Carolina,4113,29427
2018-03,South Dakota,1264,10135
2018-03,Tennessee,17501,71458
2018-03,Texas,37551,161200
2018-03,Utah,21478,33649
2018-03,Vermont,0,6177
2018-03,Virgin Islands,158,195
2018-03,Virginia,1120,55765
2018-03,Washington,18818,66587
2018-03,West Virginia,18251,40701
2018-03,Wisconsin,15625,56482
2018-03,Wyoming,602,6476
2018-02,Alabama,24547,45171
2018-02,Alaska,214,5392
2018-02,Arizona,6513,36281
2018-02,Arkansas,4341,24266
2018-02,California,39165,107649
2018-02,Colorado,9321,47221
2018-02,Connecticut,6597,15617
2018-02,Delaware,672,4651
2018-02,District of Columbia,151,217
2018-02,Florida,21971,119561
2018-02,Georgia,24308,57838
2018-02,Guam,0,146
2018-02,Hawaii,1069,1074
2018-02,Idaho,9910,20359
2018-02,Illinois,21425,185288
2018-02,Indiana,39795,81904
2018-02,Iowa,12031,17387
2018-02,Kansas,1990,18016
2018-02,Kentucky,387471,417418
2018-02,Louisiana,2148,26449
2018-02,Maine,596,7816
2018-02,Mariana Islands,0,20
2018-02,Maryland,2691,13245
2018-02,Massachusetts,7360,16463
2018-02,Michigan,20478,44706
2018-02,Minnesota,35973,49636
2018-02,Mississippi,2568,25182
2018-02,Missouri,744,49381
2018-02,Montana,1474,9983
2018-02,Nebraska,5289,7585
2018-02,Nevada,2823,12407
2018-02,New Hampshire,2346,11486
2018-02,New Jersey,0,8459
2018-02,New Mexico,1170,15891
2018-02,New York,2670,31129
2018-02,North Carolina,30480,53082
2018-02,North Dakota,710,5116
2018-02,Ohio,15308,73240
2018-02,Oklahoma,0,31763
2018-02,Oregon,5200,32397
2018-02,Pennsylvania,30952,98075
2018-02,Puerto Rico,0,2076
2018-02,Rhode Island,0,2646
2018-02,South Carolina,5080,28968
2018-02,South Dakota,835,8086
2018-02,Tennessee,16709,66667
2018-02,Texas,36801,155942
2018-02,Utah,12863,22632
2018-02,Vermont,0,3870
2018-02,Virgin Islands,3,41
2018-02,Virginia,1474,47385
2018-02,Washington,15794,53915
2018-02,West Virginia,3739,23344
2018-02,Wisconsin,14483,43777
2018-02,Wyoming,504,5057
2018-01,Alabama,23930,38477
2018-01,Alaska,207,4429
2018-01,Arizona,5686,28627
2018-01,Arkansas,4162,17483
2018-01,California,55292,119910
2018-01,Colorado,9683,41989
2018-01,Connecticut,6015,13775
2018-01,Delaware,639,3684
2018-01,District of Columbia,206,283
2018-01,Florida,19683,98243
2018-01,Georgia,23676,45591
2018-01,Guam,0,135
2018-01,Hawaii,1182,1185
2018-01,Idaho,7505,15060
2018-01,Illinois,18881,170007
2018-01,Indiana,52908,83769
2018-01,Iowa,13276,19745
2018-01,Kansas,1930,13782
2018-01,Kentucky,384989,402376
2018-01,Louisiana,1582,20744
2018-01,Maine,704,5850
2018-01,Mariana Islands,0,10
2018-01,Maryland,3026,12564
2018-01,Massachusetts,8426,16120
2018-01,Michigan,19922,35895
2018-01,Minnesota,40076,50478
2018-01,Mississippi,2146,16642
2018-01,Missouri,742,35204
2018-01,Montana,1278,7448
2018-01,Nebraska,4602,6645
2018-01,Nevada,2461,9952
2018-01,New Hampshire,1914,8758
2018-01,New Jersey,0,8010
2018-01,New Mexico,1209,11783
2018-01,New York,2977,26079
2018-01,North Carolina,27638,43439
2018-01,North Dakota,789,4388
2018-01,Ohio,13183,52079
2018-01,Oklahoma,0,23460
2018-01,Oregon,5158,27037
2018-01,Pennsylvania,29797,78428
2018-01,Puerto Rico,0,2022
2018-01,Rhode Island,0,1882
2018-01,South Carolina,6304,22311
2018-01,South Dakota,872,6556
2018-01,Tennessee,20657,55251
2018-01,Texas,36042,123042
2018-01,Utah,13727,21187
2018-01,Vermont,0,2268
2018-01,Virgin Islands,90,137
2018-01,Virginia,1109,35206
2018-01,Washington,18112,51432
2018-01,West Virginia,2838,15102
2018-01,Wisconsin,16462,36791
2018-01,Wyoming,384,3971
2017-12,Alabama,24496,56545
2017-12,Alaska,249,8330
2017-12,Arizona,6243,41559
2017-12,Arkansas,3339,29559
2017-12,California,53885,142492
2017-12,Colorado,8736,59800
2017-12,Connecticut,5424,15455
2017-12,Delaware,360,5544
2017-12,District of Columbia,139,204
2017-12,Florida,20978,137355
2017-12,Georgia,18503,64491
2017-12,Guam,0,181
2017-12,Hawaii,1118,1119
2017-12,Idaho,4975,19750
2017-12,Illinois,18020,163756
2017-12,Indiana,41805,92261
2017-12,Iowa,10375,19236
2017-12,Kansas,1581,23133
2017-12,Kentucky,380648,417841
